date,open,high,low,close,close_24,high_24,low_24,range,range_24,change_24
2018-07-31,1.3136,1.3173,1.3089,1.3116,1.3116,1.3173,1.3089,0.008399999999999963,0.008399999999999963,-0.0020000000000000018
2018-07-30,1.311,1.3152,1.3095,1.3135,1.3136,1.3152,1.3095,0.005699999999999816,0.005699999999999816,0.0026000000000001577
2018-07-29,1.3094,1.312,1.3093,1.3109,1.311,1.312,1.3093,0.0027000000000001467,0.0027000000000001467,0.0016000000000000458
2018-07-27,1.3107,1.3131,1.3081,1.3098,1.3094,1.3131,1.3081,0.004999999999999893,0.004999999999999893,-0.0013000000000000789
2018-07-26,1.3193,1.3213,1.3101,1.3107,1.3107,1.3213,1.3101,0.011199999999999877,0.011199999999999877,-0.008599999999999941
2018-07-25,1.3143,1.3201,1.3131,1.3192,1.3193,1.3201,1.3131,0.007000000000000117,0.007000000000000117,0.004999999999999893
2018-07-24,1.3101,1.3159,1.307,1.3143,1.3143,1.3159,1.307,0.00890000000000013,0.00890000000000013,0.0041999999999999815
2018-07-23,1.3139,1.3158,1.3081,1.3102,1.3101,1.3158,1.3081,0.00770000000000004,0.00770000000000004,-0.0038000000000000256
2018-07-22,1.3123,1.3141,1.3115,1.314,1.3139,1.3141,1.3115,0.0025999999999999357,0.0025999999999999357,0.0016000000000000458
2018-07-20,1.3014,1.314,1.2993,1.3132,1.3123,1.314,1.2993,0.014700000000000157,0.014700000000000157,0.010900000000000132
2018-07-19,1.3074,1.3083,1.2956,1.3014,1.3014,1.3083,1.2956,0.012699999999999934,0.012699999999999934,-0.006000000000000005
2018-07-18,1.3112,1.3117,1.3009,1.3074,1.3074,1.3117,1.3009,0.010800000000000143,0.010800000000000143,-0.0038000000000000256
2018-07-17,1.3237,1.3269,1.3068,1.3111,1.3112,1.3269,1.3068,0.020100000000000007,0.020100000000000007,-0.012500000000000178
2018-07-16,1.323,1.3293,1.3216,1.3236,1.3237,1.3293,1.3216,0.007699999999999818,0.007699999999999818,0.000700000000000145
2018-07-15,1.3234,1.3235,1.3218,1.323,1.323,1.3235,1.3218,0.0016999999999998128,0.0016999999999998128,-0.00039999999999995595
2018-07-13,1.3187,1.3239,1.3101,1.3232,1.3234,1.3239,1.3101,0.013800000000000034,0.013800000000000034,0.0046999999999999265
2018-07-12,1.3206,1.3245,1.3177,1.3186,1.3187,1.3245,1.3177,0.006799999999999917,0.006799999999999917,-0.0019000000000000128
2018-07-11,1.3259,1.3285,1.3198,1.3206,1.3206,1.3285,1.3198,0.00869999999999993,0.00869999999999993,-0.005300000000000082
2018-07-10,1.325,1.3301,1.3222,1.326,1.3259,1.3301,1.3222,0.007900000000000018,0.007900000000000018,0.0009000000000001229
2018-07-09,1.33,1.3363,1.3189,1.325,1.325,1.3363,1.3189,0.017400000000000082,0.017400000000000082,-0.0050000000000001155
2018-07-08,1.3304,1.3325,1.3285,1.3299,1.33,1.3325,1.3285,0.0040000000000000036,0.0040000000000000036,-0.00039999999999995595
